Generation,Mean_Advantage,Std_Advantage,CI_Low_95,CI_High_95,Cohen_d,T_test_statistic,T_test_p,MannWhitney_U,MannWhitney_p,Significant_001
1,0.1169,0.035,0.0484,0.1854,3.346,47.1986,4.97761216752266e-110,39974.0,3.56774495262102e-67,True
2,0.1564,0.0362,0.0854,0.2275,4.317,60.8923,1.2944653769197269e-130,40000.0,2.4154281951986995e-67,True
3,0.2009,0.0401,0.1224,0.2795,5.014,70.7355,5.408677029989924e-143,40000.0,2.4154281951986995e-67,True
4,0.2531,0.0437,0.1675,0.3386,5.795,81.7469,4.408770747126958e-155,40000.0,2.4154281951986995e-67,True
5,0.3028,0.0451,0.2143,0.3913,6.709,94.6354,2.0333813971256223e-167,40000.0,2.4154281951986995e-67,True
